-0.306186;0.918559;0.25
-0.158978;0.970783;0.204657
-0.00863805;1.00686;0.155533
0.142741;1.02642;0.103137
0.293037;1.02937;0.0480366
0.440126;1.01586;-0.00914211
0.581917;0.986349;-0.0677244
0.716378;0.941518;-0.126994
0.84157;0.882304;-0.186204
0.955669;0.809867;-0.244583
1.057;0.725566;-0.301349
1.14405;0.630939;-0.355718
1.21552;0.527676;-0.406919
1.2703;0.417585;-0.454199
1.30752;0.302563;-0.49684
1.32656;0.184566;-0.534167
1.32704;0.0655705;-0.565563
1.30886;-0.0524544;-0.590472
1.27218;-0.167583;-0.608416
1.21741;-0.277964;-0.618999
1.14524;-0.38185;-0.621916
1.05661;-0.477625;-0.616962
0.952669;-0.563831;-0.604031
0.834833;-0.639192;-0.583127
0.704701;-0.70263;-0.554361
0.56406;-0.753282;-0.517954
0.414857;-0.790513;-0.474236
0.259171;-0.813923;-0.423644
0.0991841;-0.823352;-0.366716
-0.0628503;-0.818877;-0.304089
-0.224638;-0.80081;-0.236488
-0.383876;-0.769691;-0.16472
-0.53829;-0.726273;-0.089662
-0.685663;-0.671506;-0.0122532
-0.823867;-0.606523;0.0665198
-0.950899;-0.532614;0.145635
-1.06491;-0.451202;0.22405
-1.16421;-0.363818;0.300714
-1.24735;-0.272075;0.374583
-1.31308;-0.177634;0.444636
-1.36039;-0.0821808;0.509889
-1.38855;0.0126097;0.569407
-1.39709;0.105098;0.622322
-1.38583;0.193709;0.667841
-1.35486;0.276961;0.705262
-1.30456;0.353488;0.733984
-1.23559;0.422064;0.753515
-1.14889;0.48162;0.763483
-1.04564;0.531265;0.763638
-0.927269;0.570297;0.753863
-0.795435;0.598213;0.734172
-0.651987;0.614715;0.704716
-0.498949;0.619716;0.665777
-0.338491;0.613336;0.617769
-0.172892;0.595898;0.561235
-0.00451352;0.567919;0.496835
0.164236;0.530103;0.425345
0.330939;0.483318;0.347644
0.493198;0.428588;0.2647
0.648679;0.367065;0.177565
0.795136;0.30001;0.0873544
0.930451;0.228769;-0.00476586
1.05266;0.154747;-0.097593
1.15999;0.0793836;-0.189905
1.25087;0.0041224;-0.280478
1.32398;-0.0696119;-0.368102
1.37823;-0.140441;-0.451597
1.41283;-0.207057;-0.529829
1.42724;-0.268246;-0.601729
1.42125;-0.322913;-0.666306
1.39492;-0.370094;-0.722657
1.34859;-0.40898;-0.769988
1.28294;-0.438926;-0.807618
1.19888;-0.459464;-0.834994
1.09761;-0.470309;-0.851695
0.98059;-0.471365;-0.857441
0.849489;-0.462722;-0.852098
0.706193;-0.444657;-0.835678
0.552766;-0.417625;-0.808341
0.39142;-0.38225;-0.770394
0.224481;-0.339314;-0.722285
0.0543591;-0.289739;-0.6646
-0.116487;-0.234568;-0.598056
-0.28559;-0.17495;-0.523487
-0.450506;-0.112112;-0.441839
-0.60885;-0.0473396;-0.354154
-0.758336;0.0180495;-0.261558
-0.896803;0.0827305;-0.165245
